ID,Name
KW-0009,Actin-binding
KW-0010,Activator
KW-0021,Allosteric enzyme
KW-0022,Alpha-amylase inhibitor
KW-0047,Antifreeze protein
KW-0049,Antioxidant
KW-0086,Bence-Jones protein
KW-0095,Blood group antigen
KW-0112,Calmodulin-binding
KW-0117,Actin capping
KW-0143,Chaperone
KW-0156,Chromatin regulator
KW-0195,Cyclin
KW-0202,Cytokine
KW-0217,Developmental protein
KW-0236,DNA replication inhibitor
KW-0238,DNA-binding
KW-0257,Endorphin
KW-0273,Eye lens protein
KW-0339,Growth factor
KW-0340,Growth factor binding
KW-0343,GTPase activation
KW-0344,Guanine-nucleotide releasing factor
KW-0348,Hemagglutinin
KW-0358,Heparin-binding
KW-0372,Hormone
KW-0378,Hydrolase
KW-0382,Hypotensive agent
KW-0387,Ice nucleation
KW-0388,IgA-binding protein
KW-0389,IgE-binding protein
KW-0390,IgG-binding protein
KW-0401,Integrin
KW-0413,Isomerase
KW-0428,Leader peptide
KW-0436,Ligase
KW-0437,Light-harvesting polypeptide
KW-0456,Lyase
KW-0481,Metalloenzyme inhibitor
KW-0494,Milk protein
KW-0497,Mitogen
KW-0502,Monoclonal antibody
KW-0504,Morphogen
KW-0505,Motor protein
KW-0511,Multifunctional enzyme
KW-0514,Muscle protein
KW-0515,Mutator protein
KW-0527,Neuropeptide
KW-0529,Neurotransmitter
KW-0555,Opioid peptide
KW-0560,Oxidoreductase
KW-0588,Pheromone
KW-0593,Phospholipase A2 inhibitor
KW-0646,Protease inhibitor
KW-0649,Protein kinase inhibitor
KW-0650,Protein phosphatase inhibitor
KW-0652,Protein synthesis inhibitor
KW-0655,Prothrombin activator
KW-0675,Receptor
KW-0678,Repressor
KW-0687,Ribonucleoprotein
KW-0694,RNA-binding
KW-0721,Serine protease homolog
KW-0734,Signal transduction inhibitor
KW-0737,Silk protein
KW-0758,Storage protein
KW-0766,Superantigen
KW-0776,Taste-modifying protein
KW-0800,Toxin
KW-0807,Transducer
KW-0808,Transferase
KW-0825,Tumor antigen
KW-0838,Vasoactive
KW-0878,Amphibian defense peptide
KW-0929,Antimicrobial
KW-0930,Antiviral protein
KW-1155,Translational shunt
KW-1278,Translocase
KW-0499,Mobility protein
KW-0543,Viral nucleoprotein
KW-0599,Photoprotein
KW-0640,Prion
KW-0916,Viral movement protein
KW-0251,Elongation factor
KW-0267,Excision nuclease
KW-0396,Initiation factor
KW-0407,Ion channel
KW-0568,Pathogenesis-related protein
KW-0666,Pyrogen
KW-0731,Sigma factor
KW-0626,Porin
KW-0230,DNA invertase
KW-1242,Viral contractile tail ejection system
KW-1243,Viral long flexible tail ejection system
KW-1244,Viral short tail ejection system
