bit_index,variance,variance_rank
49,0.24988385644575,1
1019,0.24981107927682444,2
126,0.2495419758314415,3
378,0.24426496481853363,4
935,0.24319152969184027,5
1887,0.23959430299292733,6
1365,0.2393990206651514,7
1700,0.23916225336243363,8
302,0.23849695627421402,9
926,0.23812618869959185,10
1932,0.23790287549515365,11
1152,0.23468920660680465,12
695,0.2318104740649443,13
388,0.22693515093779834,14
1148,0.2117621306563377,15
80,0.21156440011861555,16
1083,0.20774047876752016,17
1,0.20719496810227545,18
1656,0.20695342505611386,19
91,0.19216094821099883,20
1057,0.19167828680506616,21
656,0.18943684939624222,22
622,0.18558460351395573,23
1073,0.17197058757252892,24
2009,0.16625932192236603,25
1673,0.16562584252898627,26
1855,0.16312495518859588,27
350,0.1603394227207277,28
379,0.15913183491062008,29
1452,0.15756064577580892,30
1385,0.15680842288165503,31
1806,0.15611183092297198,32
1367,0.14871793865303087,33
1848,0.147753448033212,34
1114,0.14468477656868964,35
314,0.14079955008200323,36
1754,0.1349118001916339,37
1938,0.13458258938241108,38
1476,0.13456475245028995,39
1757,0.13334122425083678,40
1917,0.13330166522537346,41
1839,0.1307639370839432,42
1928,0.1267259622909335,43
881,0.1247834130458558,44
1222,0.1183446607139697,45
1722,0.11623973196188976,46
41,0.11610754900061683,47
823,0.11360648158381192,48
675,0.11322812607125321,49
191,0.11215126630952087,50
99,0.11048480507863458,51
486,0.11033769101956412,52
1683,0.10942501145744751,53
807,0.10539657528991675,54
1873,0.10500465486805066,55
1970,0.10458217473971626,56
363,0.10449913638759578,57
962,0.10277237142748312,58
909,0.09824702241038608,59
1090,0.09667357263976298,60
1536,0.09545340857140933,61
699,0.09488651978040055,62
403,0.09459142487030513,63
1354,0.09441057881943868,64
561,0.09088308056687837,65
761,0.08917541554401837,66
771,0.08889539340035343,67
322,0.08869017844425274,68
1164,0.08768702964361512,69
263,0.08727867062329496,70
114,0.0872618521709753,71
1060,0.08604989005718738,72
503,0.0845848275801731,73
1184,0.08152045117049622,74
1961,0.08126936702028056,75
315,0.08122877021455713,76
632,0.08080665505075418,77
454,0.08076663785369548,78
555,0.07970222769012973,79
528,0.07894053038335773,80
1991,0.07774096750699927,81
319,0.07678087014200591,82
1380,0.07663109611873875,83
1840,0.07658930211947926,84
1737,0.07495411517341066,85
2001,0.0743430675291457,86
1216,0.07423497275032653,87
1837,0.07417605680979486,88
932,0.07397398434843178,89
456,0.07319959670100055,90
1621,0.07227446760628811,91
1171,0.07207977305729506,92
478,0.07148330651669939,93
1869,0.07141610078538045,94
875,0.07050660418470522,95
1778,0.0704660412599957,96
694,0.07002609747129232,97
1160,0.06958036822794411,98
650,0.06944982260580135,99
1445,0.06850836885675324,100
1768,0.06771613044296024,101
1431,0.06699351571011726,102
1844,0.06609866670545055,103
1823,0.06553404990591916,104
1863,0.06549359226521742,105
802,0.06476791906121601,106
1345,0.06469879635169241,107
1262,0.0641939430461828,108
2004,0.06250279532458608,109
504,0.06212616739442252,110
972,0.061998978546338714,111
1504,0.061635248948514756,112
1478,0.06117724093316686,113
502,0.06097991838394014,114
689,0.059674600906689426,115
614,0.05960386061868186,116
1224,0.0588883094030488,117
147,0.058531719704038566,118
1865,0.058347892269397426,119
1162,0.05801989287899162,120
145,0.05779994255027069,121
1490,0.057736302669589276,122
1391,0.05720578666883265,123
1670,0.05694534311117162,124
242,0.056872061686320086,125
38,0.05681505540867932,126
1791,0.05661750432623771,127
1267,0.05471628670037285,128
1457,0.054539512115173175,129
1956,0.054240383152901174,130
207,0.05405519111062151,131
366,0.05364691302966988,132
1009,0.053522361831452966,133
1567,0.053090918128539624,134
762,0.051888606061662644,135
352,0.051476014140435504,136
798,0.05121310700661601,137
1749,0.05113530270544502,138
1349,0.05007137214677164,139
855,0.0498925080559369,140
1825,0.049566341568892135,141
1631,0.049372035814041274,142
1331,0.04936442762427382,143
1357,0.049163796042471036,144
819,0.049030216697963556,145
1739,0.04901637173946645,146
293,0.04850169359801997,147
116,0.04840048162694022,148
728,0.04817855827965645,149
625,0.04800093170361372,150
1236,0.04750163293275795,151
1897,0.046957885067373833,152
1946,0.046744915705837706,153
369,0.046687130260253076,154
43,0.04654855098106413,155
1007,0.04630540095384747,156
1852,0.046227339221826355,157
1883,0.04589122431463061,158
523,0.045644889768964775,159
1613,0.04539631127107577,160
407,0.045292226540761905,161
1562,0.04520209153792435,162
1326,0.04471264095573777,163
888,0.04458318856288417,164
1599,0.044570591016789035,165
573,0.04435777410968176,166
1107,0.04422050479145011,167
520,0.04420999759983347,168
974,0.04411542080430069,169
216,0.04380842204038025,170
231,0.04370253155062048,171
373,0.04345909079333138,172
998,0.04300058392032032,173
444,0.04284388702557224,174
838,0.04221721045193564,175
162,0.041946835769308834,176
102,0.0419221835017725,177
1295,0.04177494384844573,178
86,0.04149793591209166,179
1738,0.041466910839125896,180
715,0.0413011696617164,181
497,0.04122709381239069,182
1412,0.04114524235442634,183
28,0.041016082006637214,184
393,0.04087628977665957,185
218,0.04078236269329198,186
1905,0.040691240337694445,187
1989,0.04064602498431889,188
1195,0.040636133474829056,189
1185,0.04024452473826198,190
1993,0.04005495092677161,191
235,0.03991979195852727,192
1521,0.03991483766229518,193
933,0.039791669239589364,194
564,0.03933478174647021,195
1963,0.03911076127184331,196
1332,0.038980264129152675,197
1603,0.03875534557696772,198
202,0.03870992161793092,199
1564,0.038599180259697934,200
753,0.038488409888186706,201
803,0.0384301728030478,202
1604,0.038258966187357,203
1838,0.03815592469398364,204
636,0.03799882702948606,205
279,0.037971097867788815,206
674,0.03761899324891296,207
1488,0.03715191562627939,208
1384,0.037069981787581724,209
285,0.0370272274387982,210
923,0.0368775534193035,211
1441,0.036848325214386975,212
1522,0.03668218540841173,213
1220,0.036457472901051315,214
260,0.036382542444012664,215
790,0.036196943790223826,216
1341,0.036151959678732144,217
2021,0.0360948301781126,218
441,0.036002692786967425,219
1131,0.03598697745320148,220
1206,0.03594197125985825,221
1396,0.03590410524191818,222
1386,0.03568684678532365,223
918,0.03553241198086643,224
357,0.035456604184516544,225
392,0.035401527857363495,226
1097,0.03538149834950721,227
891,0.035348590700340264,228
92,0.035029398777196394,229
1542,0.03467557755604918,230
1325,0.03466626254240072,231
612,0.0346483484883222,232
134,0.0346483484883222,233
230,0.03456951779832247,234
848,0.034450527809863976,235
24,0.03434512973037221,236
138,0.03429779976371698,237
1122,0.0342676779901271,238
747,0.0341364085751534,239
248,0.03406178958524183,240
953,0.03393476415621212,241
1453,0.033857238766876116,242
1323,0.03366623730204622,243
84,0.033646126977617576,244
334,0.033543406101474466,245
833,0.03353909560173173,246
321,0.033310577698205834,247
414,0.03315097487137409,248
1766,0.03313227880477239,249
1027,0.03296685542504996,250
585,0.03257606219694069,251
1609,0.03254438031466783,252
1141,0.03243995777565955,253
1442,0.03234703665403698,254
1696,0.0323218220754055,255
1404,0.032224552163093854,256
